round_start,round_end,round_midpoint,n_runs,seed0_mean,seed1_mean,seed2_mean,seed3_mean,seed4_mean,mean,sample_sd,mean_minus_sd,mean_plus_sd
1,5,3,5,1.678,1.929,1.958,1.835,1.897,1.8594,0.1112218503712288,1.7481781496287712,1.9706218503712287
6,10,8,5,1.714,2.036,1.96,1.6909999999999998,1.847,1.8496,0.1504004654248118,1.699199534575188,2.0000004654248116
11,15,13,5,1.678,2.001,1.936,1.69,1.696,1.8002,0.15548054540681286,1.6447194545931871,1.955680545406813
16,20,18,5,1.671,1.98,1.932,1.689,1.6219999999999999,1.7788,0.16448616963137053,1.6143138303686295,1.9432861696313704
21,25,23,5,1.648,1.908,1.908,1.674,1.59,1.7456,0.15133671068184346,1.5942632893181565,1.8969367106818436
26,30,28,5,1.621,1.858,1.8929999999999998,1.669,1.56,1.7202,0.14745745149025188,1.5727425485097482,1.8676574514902518
31,35,33,5,1.622,1.803,1.868,1.661,1.518,1.6944000000000001,0.14089464148788625,1.553505358512114,1.8352946414878863
36,40,38,5,1.6469999999999998,1.75,1.82,1.66,1.53,1.6814,0.1100899632119114,1.5713100367880886,1.7914899632119115
41,45,43,5,1.673,1.7,1.77,1.66,1.5590000000000002,1.6724,0.07632365295241045,1.5960763470475896,1.7487236529524106
46,50,48,5,1.697,1.65,1.72,1.66,1.588,1.663,0.050517323761260335,1.6124826762387396,1.7135173237612604
51,55,53,5,1.7189999999999999,1.628,1.698,1.66,1.612,1.6634,0.04526367196770491,1.6181363280322951,1.7086636719677049
56,60,58,5,1.6949999999999998,1.6309999999999998,1.6989999999999998,1.66,1.598,1.6565999999999999,0.042933669770938446,1.6136663302290615,1.6995336697709382
61,65,63,5,1.658,1.622,1.7,1.66,1.558,1.6396,0.05331791443783219,1.5862820855621678,1.6929179144378321
66,70,68,5,1.616,1.62,1.7,1.66,1.514,1.622,0.06933974329343884,1.5526602567065613,1.691339743293439
71,75,73,5,1.622,1.6260000000000001,1.7,1.66,1.5150000000000001,1.6246,0.06884620541467765,1.5557537945853224,1.6934462054146777
76,80,78,5,1.6469999999999998,1.639,1.7,1.66,1.54,1.6372,0.059183612596731494,1.5780163874032684,1.6963836125967315
