seed,mode,round,firm_id,proposal_price,executed_price
0,passive,1,0,1.95,1.95
0,passive,1,1,1.85,1.85
0,passive,2,0,1.88,1.88
0,passive,2,1,1.9,1.9
0,passive,3,0,1.84,1.84
0,passive,3,1,1.82,1.82
0,passive,4,0,1.89,1.89
0,passive,4,1,1.75,1.75
0,passive,5,0,1.82,1.82
0,passive,5,1,1.68,1.68
0,passive,6,0,1.74,1.74
0,passive,6,1,1.74,1.74
0,passive,7,0,1.73,1.73
0,passive,7,1,1.68,1.68
0,passive,8,0,1.72,1.72
0,passive,8,1,1.64,1.64
0,passive,9,0,1.7,1.7
0,passive,9,1,1.6,1.6
0,passive,10,0,1.66,1.66
0,passive,10,1,1.63,1.63
0,passive,11,0,1.61,1.61
0,passive,11,1,1.62,1.62
0,passive,12,0,1.58,1.58
0,passive,12,1,1.6,1.6
0,passive,13,0,1.62,1.62
0,passive,13,1,1.63,1.63
0,passive,14,0,1.64,1.64
0,passive,14,1,1.64,1.64
0,passive,15,0,1.65,1.65
0,passive,15,1,1.64,1.64
0,passive,16,0,1.64,1.64
0,passive,16,1,1.66,1.66
0,passive,17,0,1.64,1.64
0,passive,17,1,1.63,1.63
0,passive,18,0,1.64,1.64
0,passive,18,1,1.64,1.64
0,passive,19,0,1.64,1.64
0,passive,19,1,1.64,1.64
0,passive,20,0,1.64,1.64
0,passive,20,1,1.64,1.64
0,passive,21,0,1.64,1.64
0,passive,21,1,1.64,1.64
0,passive,22,0,1.64,1.64
0,passive,22,1,1.64,1.64
0,passive,23,0,1.64,1.64
0,passive,23,1,1.64,1.64
0,passive,24,0,1.64,1.64
0,passive,24,1,1.64,1.64
0,passive,25,0,1.64,1.64
0,passive,25,1,1.64,1.64
0,passive,26,0,1.64,1.64
0,passive,26,1,1.64,1.64
0,passive,27,0,1.64,1.64
0,passive,27,1,1.64,1.64
0,passive,28,0,1.64,1.64
0,passive,28,1,1.64,1.64
0,passive,29,0,1.64,1.64
0,passive,29,1,1.64,1.64
0,passive,30,0,1.64,1.64
0,passive,30,1,1.64,1.64
0,passive,31,0,1.64,1.64
0,passive,31,1,1.64,1.64
0,passive,32,0,1.64,1.64
0,passive,32,1,1.64,1.64
0,passive,33,0,1.64,1.64
0,passive,33,1,1.64,1.64
0,passive,34,0,1.64,1.64
0,passive,34,1,1.64,1.64
0,passive,35,0,1.64,1.64
0,passive,35,1,1.64,1.64
