seed,industry,market,rounds,mean_price_first20,mean_price_last20,dynamic_price_index_last20,unchanged_share,small_move_share,stay_after_nondeclining_profit_share,maintain_note_share,explore_note_share,final_price_firm0,final_price_firm1
0,retail,mature,60,2.0237,2.0250,1.2213,0.9915,1.0000,1.0000,0.7833,0.0000,2.05,2.00
0,retail,expanding,60,2.1362,2.1500,1.1679,0.9322,1.0000,1.0000,0.9000,0.0083,2.15,2.15
0,software,mature,60,2.0000,2.0000,1.1660,1.0000,1.0000,1.0000,0.8000,0.0000,2.00,2.00
0,software,expanding,60,2.1400,2.1500,1.1679,0.9407,0.9746,0.9908,0.9167,0.0500,2.15,2.15
1,retail,mature,60,2.0000,2.0000,1.1660,1.0000,1.0000,1.0000,0.6750,0.0000,2.00,2.00
1,retail,expanding,60,1.8650,2.0000,0.9044,0.7966,1.0000,0.8246,0.7833,0.0917,2.00,2.00
1,software,mature,60,2.0425,2.0000,1.1660,0.8814,1.0000,0.9524,0.5500,0.0333,2.00,2.00
1,software,expanding,60,2.0790,2.0750,1.0362,0.8729,0.9831,0.9528,0.8833,0.0250,2.05,2.10
2,retail,mature,60,2.0500,2.0500,1.2766,0.9492,1.0000,0.9910,0.8000,0.0417,2.05,2.05
2,retail,expanding,60,2.0725,2.0750,1.0362,0.9492,0.9915,0.9911,0.9083,0.0333,2.05,2.10
2,software,mature,60,2.1350,2.1500,1.4978,0.9492,1.0000,1.0000,0.7833,0.0167,2.15,2.15
2,software,expanding,60,2.0750,2.0750,1.0362,0.9407,0.9831,0.9909,0.9250,0.0083,2.05,2.10
