seed,response_order,oversight_mode,rounds,last20_mean_price
0,paper,passive,100,1.975
0,paper,revision,100,1.500
0,paper,veto,100,1.490
1,paper,passive,100,1.975
1,paper,revision,100,1.595
1,paper,veto,100,1.615
2,paper,passive,100,2.000
2,paper,revision,100,1.475
2,paper,veto,100,1.325
0,price-last,passive,100,1.950
0,price-last,revision,100,1.560
0,price-last,veto,100,1.600
1,price-last,passive,100,1.420
1,price-last,revision,100,1.450
1,price-last,veto,100,1.400
2,price-last,passive,100,1.850
2,price-last,revision,100,1.500
2,price-last,veto,100,1.580
