mode,round,n_runs,run0,run1,run2,run3,run4,mean,sample_sd,mean_minus_sd,mean_plus_sd
passive,5,5,1.8379999999999999,1.954,1.829,1.768,1.862,1.8502,0.06758106243615884,1.7826189375638413,1.9177810624361589
passive,6,5,1.806,1.9289999999999998,1.817,1.736,1.822,1.822,0.0691483911598816,1.7528516088401185,1.8911483911598816
passive,7,5,1.769,1.9109999999999998,1.808,1.701,1.778,1.7933999999999999,0.07650686243730027,1.7168931375626997,1.8699068624373
passive,8,5,1.7389999999999999,1.889,1.816,1.648,1.7570000000000001,1.7698,0.08984820532431356,1.6799517946756866,1.8596482053243135
passive,9,5,1.705,1.8739999999999999,1.812,1.615,1.744,1.75,0.09938058160425503,1.650619418395745,1.849380581604255
passive,10,5,1.684,1.8639999999999999,1.804,1.598,1.728,1.7356,0.10346400340214944,1.6321359965978506,1.8390640034021495
passive,11,5,1.659,1.851,1.792,1.596,1.7129999999999999,1.7222,0.10181699268786126,1.6203830073121388,1.824016992687861
passive,12,5,1.6360000000000001,1.844,1.7790000000000001,1.601,1.7009999999999998,1.7122,0.10016336655684056,1.6120366334431593,1.8123633665568406
passive,13,5,1.625,1.833,1.7630000000000001,1.605,1.691,1.7034,0.09530372500589891,1.608096274994101,1.798703725005899
passive,14,5,1.623,1.826,1.745,1.601,1.683,1.6956,0.09195542398358027,1.6036445760164197,1.7875554239835802
passive,15,5,1.623,1.819,1.722,1.598,1.6769999999999998,1.6878,0.08769663619546643,1.6001033638045334,1.7754966361954665
passive,16,5,1.63,1.814,1.699,1.592,1.676,1.6822,0.0844878689517022,1.5977121310482978,1.766687868951702
passive,17,5,1.639,1.81,1.677,1.584,1.674,1.6768,0.08335286437789646,1.5934471356221036,1.7601528643778965
passive,18,5,1.642,1.81,1.654,1.576,1.6689999999999998,1.6702,0.08584404463910122,1.5843559553608988,1.756044044639101
passive,19,5,1.642,1.805,1.627,1.571,1.6649999999999998,1.662,0.08712634503983281,1.5748736549601672,1.7491263450398327
passive,20,5,1.6409999999999998,1.8,1.603,1.5650000000000002,1.662,1.6542,0.08954161043894619,1.5646583895610537,1.743741610438946
passive,21,5,1.6389999999999998,1.7950000000000002,1.581,1.558,1.66,1.6466,0.09275397565603326,1.553846024343967,1.7393539756560332
passive,22,5,1.64,1.79,1.556,1.556,1.66,1.6404,0.0961914757138074,1.5442085242861927,1.7365914757138075
passive,23,5,1.64,1.7830000000000001,1.532,1.552,1.66,1.6334,0.10004898800087887,1.5333510119991212,1.7334489880008788
passive,24,5,1.64,1.78,1.514,1.546,1.66,1.628,0.1048713497576912,1.5231286502423087,1.732871349757691
passive,25,5,1.64,1.7770000000000001,1.5,1.542,1.66,1.6238,0.10846750665521913,1.5153324933447807,1.7322675066552191
passive,26,5,1.64,1.775,1.492,1.54,1.66,1.6214,0.11045270481070163,1.5109472951892984,1.7318527048107015
passive,27,5,1.64,1.774,1.488,1.536,1.66,1.6196,0.11202142652189356,1.5075785734781064,1.7316214265218934
passive,28,5,1.64,1.776,1.488,1.534,1.66,1.6196,0.1130875766828523,1.5065124233171476,1.7326875766828522
passive,29,5,1.64,1.775,1.4889999999999999,1.53,1.66,1.6188,0.11322411403936883,1.5055758859606312,1.7320241140393688
passive,30,5,1.64,1.775,1.49,1.5270000000000001,1.66,1.6184,0.11353545701673987,1.5048645429832601,1.73193545701674
passive,31,5,1.64,1.775,1.49,1.5250000000000001,1.66,1.6179999999999999,0.1139407740889976,1.5040592259110024,1.7319407740889974
passive,32,5,1.64,1.775,1.49,1.5210000000000001,1.66,1.6172,0.11476802690645153,1.5024319730935485,1.7319680269064515
passive,33,5,1.64,1.775,1.49,1.514,1.66,1.6158,0.11626779433703896,1.499532205662961,1.7320677943370388
passive,34,5,1.64,1.775,1.49,1.508,1.66,1.6146,0.11760442168558115,1.4969955783144189,1.7322044216855812
passive,35,5,1.64,1.775,1.49,1.5,1.66,1.613,0.11945710527214357,1.4935428947278564,1.7324571052721436
passive,36,5,1.64,1.775,1.49,1.492,1.66,1.6114,0.12138698447527227,1.4900130155247278,1.7327869844752721
passive,37,5,1.64,1.775,1.49,1.486,1.66,1.6101999999999999,0.12288287106020916,1.4873171289397906,1.733082871060209
passive,38,5,1.64,1.775,1.49,1.482,1.66,1.6094,0.1239023809295043,1.4854976190704956,1.7333023809295043
passive,39,5,1.64,1.775,1.49,1.48,1.66,1.609,0.1244186481199663,1.4845813518800337,1.7334186481199663
passive,40,5,1.64,1.775,1.49,1.48,1.66,1.609,0.1244186481199663,1.4845813518800337,1.7334186481199663
revision,5,5,2.002,1.913,1.845,1.885,1.835,1.896,0.06702238432046409,1.8289776156795359,1.963022384320464
revision,6,5,1.9869999999999999,1.879,1.81,1.843,1.796,1.863,0.07637080594049005,1.78662919405951,1.93937080594049
revision,7,5,1.977,1.848,1.775,1.78,1.758,1.8276000000000001,0.09029562558618225,1.737304374413818,1.9178956255861823
revision,8,5,1.97,1.838,1.775,1.756,1.731,1.814,0.09576794870936725,1.7182320512906328,1.9097679487093673
revision,9,5,1.966,1.8250000000000002,1.795,1.731,1.707,1.8048,0.1018587256939728,1.7029412743060273,1.9066587256939727
revision,10,5,1.967,1.8130000000000002,1.8,1.724,1.689,1.7986,0.10740716922068101,1.691192830779319,1.906007169220681
revision,11,5,1.917,1.7870000000000001,1.778,1.716,1.677,1.7750000000000001,0.09138107024980613,1.683618929750194,1.8663810702498063
revision,12,5,1.867,1.7570000000000001,1.756,1.709,1.659,1.7496,0.07703116252530529,1.6725688374746948,1.8266311625253053
revision,13,5,1.819,1.7229999999999999,1.734,1.7069999999999999,1.636,1.7238,0.06549580139215035,1.6583041986078497,1.7892958013921503
revision,14,5,1.7710000000000001,1.692,1.712,1.696,1.611,1.6964,0.05727390330682906,1.6391260966931709,1.753673903306829
revision,15,5,1.725,1.662,1.69,1.688,1.58,1.669,0.05456189146281495,1.614438108537185,1.723561891462815
revision,16,5,1.725,1.6489999999999998,1.69,1.6809999999999998,1.5510000000000002,1.6592,0.06626613011184516,1.5929338698881548,1.7254661301118452
revision,17,5,1.725,1.6409999999999998,1.69,1.668,1.526,1.65,0.07583864450265446,1.5741613554973455,1.7258386445026543
revision,18,5,1.725,1.635,1.69,1.658,1.5110000000000001,1.6438,0.08161311169168832,1.5621868883083116,1.7254131116916882
revision,19,5,1.725,1.63,1.69,1.651,1.498,1.6388,0.08675079250358468,1.5520492074964154,1.7255507925035847
revision,20,5,1.725,1.625,1.69,1.6400000000000001,1.493,1.6346,0.08861884675394956,1.5459811532460506,1.7232188467539495
revision,21,5,1.725,1.616,1.69,1.631,1.491,1.6306,0.08963983489498402,1.540960165105016,1.720239834894984
revision,22,5,1.725,1.607,1.69,1.624,1.49,1.6272,0.09048591050544832,1.5367140894945517,1.7176859105054483
revision,23,5,1.725,1.597,1.69,1.615,1.49,1.6234,0.09127047715444465,1.5321295228455554,1.7146704771544445
revision,24,5,1.725,1.589,1.69,1.6070000000000002,1.49,1.6202,0.09213414133750855,1.5280658586624916,1.7123341413375086
revision,25,5,1.725,1.5810000000000002,1.69,1.6010000000000002,1.49,1.6174000000000002,0.09310370561905686,1.5242962943809433,1.710503705619057
revision,26,5,1.725,1.5770000000000002,1.69,1.592,1.49,1.6148,0.09397180428192277,1.5208281957180771,1.7087718042819229
revision,27,5,1.725,1.5730000000000002,1.69,1.5910000000000002,1.49,1.6138000000000001,0.09444945738330103,1.519350542616699,1.7082494573833011
revision,28,5,1.725,1.5690000000000002,1.69,1.5910000000000002,1.49,1.613,0.09489731292296952,1.5181026870770304,1.7078973129229695
revision,29,5,1.725,1.5650000000000002,1.69,1.59,1.49,1.612,0.09543322272667941,1.5165667772733207,1.7074332227266795
revision,30,5,1.725,1.56,1.69,1.5890000000000002,1.49,1.6108,0.09612855975203206,1.514671440247968,1.706928559752032
revision,31,5,1.725,1.554,1.69,1.591,1.49,1.61,0.09685298136867034,1.5131470186313298,1.7068529813686704
revision,32,5,1.725,1.548,1.69,1.588,1.49,1.6082,0.09789892747114241,1.5103010725288577,1.7060989274711424
revision,33,5,1.725,1.5430000000000001,1.69,1.583,1.49,1.6062,0.09895807192947931,1.5072419280705207,1.7051580719294794
revision,34,5,1.725,1.536,1.69,1.579,1.49,1.604,0.10035188089916404,1.503648119100836,1.7043518808991642
revision,35,5,1.725,1.531,1.69,1.5730000000000002,1.49,1.6018000000000001,0.1016105309502908,1.5001894690497093,1.703410530950291
revision,36,5,1.725,1.527,1.69,1.5670000000000002,1.49,1.5998,0.10276526650576061,1.4970347334942395,1.7025652665057607
revision,37,5,1.725,1.523,1.69,1.562,1.49,1.598,0.1038965831969464,1.4941034168030536,1.7018965831969466
revision,38,5,1.725,1.52,1.69,1.5590000000000002,1.49,1.5968,0.10470768835190661,1.4920923116480933,1.7015076883519067
revision,39,5,1.725,1.518,1.69,1.556,1.49,1.5958,0.10535274082813414,1.490447259171866,1.7011527408281342
revision,40,5,1.725,1.516,1.69,1.5530000000000002,1.49,1.5948,0.10601273508404545,1.4887872649159546,1.7008127350840454
veto,5,5,1.926,2.021,1.81,1.712,1.94,1.8818,0.12114536722466936,1.7606546327753305,2.0029453672246693
veto,6,5,1.881,2.013,1.778,1.686,1.9335,1.8583,0.1286835265292337,1.7296164734707664,1.9869835265292337
veto,7,5,1.847,2.005,1.754,1.6520000000000001,1.905,1.8326,0.13598271949038224,1.6966172805096178,1.9685827194903822
veto,8,5,1.826,2.009,1.746,1.642,1.916,1.8277999999999999,0.14302866845496393,1.6847713315450359,1.9708286684549639
veto,9,5,1.8110000000000002,2.001,1.739,1.633,1.897,1.8162,0.14162344438686691,1.6745765556131331,1.957823444386867
veto,10,5,1.796,1.9949999999999999,1.729,1.6239999999999999,1.8539999999999999,1.7995999999999999,0.13872022202981074,1.6608797779701892,1.9383202220298106
veto,11,5,1.749168,1.911168,1.723,1.6179999999999999,1.8145,1.7631672,0.10888318358314109,1.654284016416859,1.872050383583141
veto,12,5,1.7041680000000001,1.826252,1.718,1.6219999999999999,1.7774999999999999,1.729584,0.07745179863631316,1.6521322013636868,1.8070357986363133
veto,13,5,1.660668,1.744752,1.714,1.607,1.7405,1.693384,0.058771039738973484,1.6346129602610264,1.7521550397389736
veto,14,5,1.6195680000000001,1.664752,1.708,1.592,1.7195,1.6607640000000001,0.055051475111934964,1.6057125248880653,1.715815475111935
