seed,mode,rounds,final_window,late_window_mean_price,supracompetitive_index,flagged_agent_rounds,intervention_agent_rounds
0,passive,40,20,1.64,0.5075987841945284,4,0
0,revision,40,20,1.725,0.7659574468085107,2,2
0,veto,40,20,1.57565,0.3120060790273554,4,4
1,passive,40,20,1.7754999999999999,0.9194528875379934,60,0
1,revision,55,20,1.5152500000000002,0.12841945288753837,6,6
1,veto,45,20,1.5577,0.25744680851063834,3,3
2,passive,40,20,1.4925,0.059270516717324785,10,0
2,revision,40,20,1.69,0.659574468085106,2,2
2,veto,55,20,1.561,0.267477203647416,0,0
3,passive,55,20,1.48,0.021276595744680535,0,0
3,revision,55,20,1.5510000000000002,0.23708206686930114,0,0
3,veto,40,20,1.49325,0.06155015197568353,0,0
4,passive,40,20,1.66,0.5683890577507594,0,0
4,revision,40,20,1.49,0.05167173252279607,4,4
4,veto,40,20,1.72,0.7507598784194527,0,0
